round,gini_coefficient,total_wealth,num_agents,total_fees,transaction_count,tag_entropy,top_1_pct_share,top_10_pct_share,q1_fee_rate,q2_fee_rate,q3_fee_rate,q4_fee_rate,q5_fee_rate
7800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
8000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
8200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
8400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
8600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
8800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
9000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
9200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
9400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
9600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
9800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
10000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
10200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
10400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
10600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
10800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
11000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
11200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
11400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
11600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
11800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
12000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
12200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
12400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
12600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
12800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
13000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
13200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
13400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
13600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
13800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
14000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
14200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
14400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
14600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
14800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
15000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
15200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
15400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
15600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
15800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
16000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
16200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
16400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
16600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
16800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
17000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
17200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
17400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
17600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
17800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
18000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
18200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
18400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
18600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
18800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
19000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
19200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
19400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
19600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
19800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
20000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
